season_idx,week_idx,contestant_id,celebrity_name,judge_rank,vote_rank,total_rank,placement,estimated_strength,strength_lower_95,strength_upper_95,implied_audience_score,implied_audience_lower_95,implied_audience_upper_95
0,0,0,56,1,1,2,2,7.540852995,1.706913982,21.30482816,10.04378134,2.273465721,28.37623748
0,0,1,66,3,6,9,1,7.85339839,1.795079639,23.0352291,18.55615335,4.241447,54.42806061
0,0,2,32,2,4,6,5,6.482222614,1.393574245,18.36649215,11.49946116,2.472200332,32.58215209
0,0,3,89,1,1,2,4,4.848838924,0.989651501,14.02915579,6.45824523,1.318132481,18.68565442
0,0,4,55,1,1,2,3,10.46227439,2.441413325,30.3186114,13.93486868,3.25175701,40.38183791
0,0,5,108,2,4,6,6,5.549130733,1.303366797,15.1550434,9.844156417,2.312172345,26.88504289
0,1,0,56,1,1,2,2,6.652852975,1.72856095,17.38461932,8.86104007,2.302297661,23.15484935
0,1,1,66,5,5,10,1,3.978085707,0.988372297,10.53388719,16.67469921,4.14289987,44.15425242
0,1,2,32,6,6,12,5,1.883834653,0.398430894,5.067922411,10.51727982,2.224403929,28.29375606
0,1,3,89,2,2,4,4,3.290203678,0.733006577,8.77234782,5.836820432,1.300353469,15.56214266
0,1,4,55,3,3,6,3,5.222638171,1.365460296,13.49379955,12.34014499,3.22633456,31.88339636
0,1,5,108,4,4,8,6,2.002498419,0.55013524,4.641752938,6.30201279,1.731316883,14.60794481
0,2,0,56,2,2,4,2,4.345043215,1.20703012,10.5303912,7.708105486,2.141271106,18.68091113
0,2,1,66,4,4,8,1,4.465710532,1.263976085,11.27729285,14.05392614,3.977827587,35.49048683
0,2,2,32,5,5,10,5,1.721858861,0.444133798,4.061248056,7.217410763,1.861648552,17.02328576
0,2,3,89,1,1,2,4,3.730960372,0.876363622,9.357216109,4.969325111,1.167242565,12.46302409
0,2,4,55,3,3,6,3,4.473472664,1.247267745,10.91364878,10.57000303,2.947067039,25.78696894
0,3,0,56,3,3,6,2,2.849286178,0.776993458,6.948129319,6.732345491,1.835894353,16.41716703
0,3,1,66,1,1,2,1,9.027873705,2.656449621,23.57408122,12.02436773,3.538167252,31.39869152
0,3,3,89,2,2,4,4,1.960963975,0.506071169,4.541070322,3.47874956,0.897770117,8.055857521
0,3,4,55,4,4,8,3,2.968238397,0.80055729,7.214685763,9.341268967,2.519413863,22.70515748
0,4,0,56,1,1,2,2,4.442280374,1.229682132,10.8845723,5.916743469,1.637833075,14.49733395
0,4,1,66,2,2,4,1,6.066417141,1.783552616,15.0329351,10.76182236,3.164021858,26.66842279
0,4,4,55,3,3,6,3,2.799669684,0.831636011,6.3658305,6.615110731,1.965004777,15.04130073
0,5,0,56,2,2,4,2,2.722810575,0.71998921,6.861393897,4.830265221,1.277260663,12.17211091
0,5,1,66,1,1,2,1,6.703064509,1.842349969,17.5792246,8.927917605,2.453855054,23.4140472
1,0,6,103,2,2,4,9,19.59115442,4.411142136,55.57229256,34.75470263,7.825364953,98.58523194
1,0,7,105,5,6,11,6,9.345797917,2.072097569,25.02626753,39.17421107,8.68548499,104.9010791
1,0,8,34,7,8,15,5,6.065869799,1.256192859,16.76278586,45.10560436,9.341007961,124.6475134
1,0,9,73,6,7,13,4,7.086911303,1.592054029,19.52086934,39.56558987,8.888294783,108.9832619
1,0,10,100,3,4,7,3,18.82249835,4.473589891,53.29437141,44.47414335,10.57028001,125.9249155
1,0,11,49,4,5,9,2,21.59399749,5.080110883,62.06714831,67.95793049,15.98749015,195.3299732
1,0,12,35,2,2,4,8,14.51772606,2.715437166,44.16442027,25.7544421,4.817184797,78.34766959
1,0,13,76,9,10,19,7,5.470382806,1.058894167,15.4675464,72.16202131,13.96829914,204.0386299
1,0,14,27,1,1,2,1,34.34032276,7.862707207,102.8253697,45.73841885,10.47246405,136.9547358
1,0,15,67,8,9,17,10,1.906359783,0.255886279,6.232018871,18.88074228,2.534318507,61.72242156
1,1,6,103,7,8,15,9,3.173253094,0.697598737,8.049369534,23.59620357,5.187320811,59.85484186
1,1,7,105,5,5,10,6,8.178907899,2.088463318,20.52325872,34.28302936,8.754084304,86.02609174
1,1,8,34,5,5,10,5,9.118955176,2.209310505,22.90905741,38.22336819,9.260632085,96.02649859
1,1,9,73,6,7,13,4,6.26531533,1.523174775,15.7414583,34.97869327,8.50374809,87.88314915
1,1,10,100,1,1,2,3,28.41723964,7.494601259,77.73125247,37.8493708,9.982177917,103.5314842
1,1,11,49,4,4,8,2,18.55446819,4.936613297,50.46396308,58.39230369,15.53589248,158.8138785
1,1,12,35,3,3,6,8,9.450487952,1.943746923,26.09548125,22.32978577,4.592720779,61.65888035
1,1,13,76,8,9,17,7,6.291537405,1.364357679,16.45207726,62.31189795,13.51270937,162.9427107
1,1,14,27,2,2,4,1,21.67898754,5.793257168,58.49357564,38.45851802,10.27723665,103.7675873
1,2,7,105,2,3,5,6,16.00946528,4.824452214,39.080065,28.40078706,8.55857692,69.32802472
1,2,8,34,4,5,9,5,10.53611116,2.737981734,25.56142228,33.15793244,8.61663397,80.443714
1,2,9,73,3,4,7,4,12.23978361,3.591774904,29.84458829,28.92038456,8.486711432,70.51733902
1,2,10,100,1,1,2,3,24.45226049,7.118157545,63.5554576,32.56835238,9.480786584,84.65051889
1,2,11,49,5,7,12,2,12.28928801,3.579471661,30.33934676,51.51225894,15.00385303,127.1715892
1,2,12,35,4,5,9,8,4.556433363,1.040982004,11.10574834,14.3394377,3.276048482,34.95062338
1,2,13,76,6,8,14,7,9.448434314,2.498641473,22.97760367,52.74976092,13.94969113,128.2818994
1,2,14,27,1,1,2,1,24.97540671,7.143189456,66.44021009,33.26513909,9.514126981,88.49276634
1,3,7,105,3,4,7,6,10.92763018,3.207069551,25.32048985,25.82000444,7.577722589,59.8277165
1,3,8,34,5,6,11,5,7.333617651,1.917638969,17.44613357,30.73987779,8.038050299,73.12789393
1,3,9,73,2,2,4,4,13.95822636,4.349035263,32.03679609,24.76188977,7.715187378,56.83326759
1,3,10,100,2,2,4,3,16.06719108,5.149052769,39.04578623,28.50319262,9.134418217,69.26721419
1,3,11,49,4,5,9,2,14.1247498,4.396855272,33.87054795,44.45164754,13.83723348,106.593156
1,3,13,76,6,7,13,7,5.360916726,1.582753424,11.9985189,29.92951702,8.836370341,66.98665436
1,3,14,27,1,1,2,1,21.64085555,6.639403787,55.61796738,28.82379768,8.843126883,74.07845016
1,4,7,105,6,6,12,6,3.3821008,0.849237761,8.11494639,18.88196527,4.741218217,45.30501751
1,4,8,34,4,4,8,5,7.95953038,2.211841453,18.90113029,25.04923938,6.960831026,59.48327533
1,4,9,73,3,3,6,4,9.156017379,2.766758425,21.37493761,21.63400532,6.537347408,50.5050935
1,4,10,100,1,1,2,3,18.30416074,5.550520656,44.98729803,24.3796011,7.392826224,59.91929356
1,4,11,49,5,5,10,2,9.261539551,2.724948111,22.26251018,38.82103042,11.42199879,93.31640598
1,4,14,27,2,2,4,1,14.14449859,4.280714633,35.04949342,25.09233667,7.593986599,62.17779182
1,5,8,34,3,4,7,5,6.648382596,1.905674078,15.27746133,15.70891999,4.502761564,36.09786504
1,5,9,73,2,3,5,4,11.33083205,3.346091302,26.12066713,20.10089299,5.935965064,46.33805641
1,5,10,100,1,1,2,3,16.6351149,5.100320738,40.99772689,22.15657257,6.793197835,54.60552069
1,5,11,49,3,4,7,2,14.59383028,4.557201144,35.60545391,34.4825691,10.76783821,84.12921768
1,5,14,27,1,1,2,1,16.88104818,5.150295698,42.15271595,22.48413498,6.859760274,56.14386887
1,6,9,73,2,3,5,4,7.16188248,2.038169247,17.35099491,12.70517758,3.615711692,30.78066027
1,6,10,100,1,1,2,3,15.10006599,4.23207027,37.90749774,20.11201665,5.636761308,50.48959562
1,6,11,49,3,4,7,2,13.2881748,3.729594297,33.59647941,31.39754245,8.812353615,79.38237598
1,6,14,27,1,1,2,1,15.17470086,4.243101553,39.3580688,20.211424,5.651454049,52.42163414
1,7,10,100,2,2,4,3,9.532180868,2.233597095,26.68177849,16.91008628,3.962400642,47.3334678
1,7,11,49,3,3,6,2,10.94515883,2.56377591,30.2710938,25.86142146,6.057736609,71.52509404
1,7,14,27,1,1,2,1,12.80779772,2.890700735,35.11076754,17.0589083,3.850170015,46.76458644
2,0,16,64,7,9,16,7,14.95316269,2.88441224,43.76200848,111.1912162,21.44839266,325.4128271
2,0,17,42,1,1,2,5,69.47299888,14.12151222,215.4721835,92.53218569,18.8086654,286.9908082
2,0,18,65,6,7,13,2,17.32857894,3.549910081,50.41715574,96.74390124,19.81882943,281.4744563
2,0,19,90,7,9,16,11,10.6922622,1.701169477,32.75074244,79.50730308,12.64983917,243.5334223
2,0,20,69,9,12,21,10,11.22693673,1.995170137,33.79011466,148.0990411,26.31909229,445.7390023
2,0,21,93,4,4,8,9,19.58225055,3.435781826,60.85750666,61.62681192,10.81266322,191.5231401
2,0,22,96,8,11,19,6,21.62006952,3.994781909,68.06037957,214.1269262,39.5646448,674.0755325
2,0,23,75,5,5,10,12,14.74074751,2.323394982,45.25877452,61.78789221,9.73883303,189.7084445
2,0,24,70,3,3,6,4,74.65889496,14.47028781,248.9508325,176.4054024,34.19066068,588.22558
2,0,25,3,6,7,13,3,19.70451872,4.001042006,59.34111427,110.0085598,22.33745849,331.296116
2,0,26,63,5,5,10,8,27.63012236,5.720707438,80.20871471,115.8154986,23.97914043,336.2059771
2,0,27,36,2,2,4,1,76.56633637,14.92007425,255.7738759,135.82866,26.46820768,453.7427866
2,1,16,64,2,2,4,7,53.39996579,12.59844837,152.5339651,94.73152485,22.349644,270.5952128
2,1,17,42,3,3,6,5,32.78439072,8.594131313,88.82357479,77.46355797,20.30637064,209.873967
2,1,18,65,3,3,6,2,35.24535292,9.253409271,99.38939795,83.27836447,21.86412466,234.8390872
2,1,19,90,7,10,17,11,7.414593724,1.418962811,20.17358707,55.13467023,10.55135987,150.0101168
2,1,20,69,8,12,20,10,14.20378194,3.18847404,38.18534401,140.6754111,31.57890611,378.1907515
2,1,21,93,5,8,13,9,14.13361925,2.852395796,38.70623269,59.2430297,11.95621347,162.2425546
2,1,22,96,6,9,15,6,32.85446099,7.725077487,95.85344185,183.4235076,43.12841441,535.1411645
2,1,23,75,7,10,17,12,6.257111045,1.007772522,17.76820545,46.52766785,7.493762671,132.1237798
2,1,24,70,4,6,10,4,46.74150253,10.92463234,140.6272859,147.0990159,34.38063775,442.5646213
2,1,25,3,3,3,6,3,39.68823327,10.12720065,112.2599782,93.77608342,23.9287349,265.2499296
2,1,26,63,4,6,10,8,31.44637201,8.002047176,84.72226439,98.9640924,25.18304292,266.6273235
2,1,27,36,1,1,2,1,86.08907732,19.94252309,275.654158,114.6634033,26.56176182,367.1481315
2,2,16,64,1,1,2,7,60.64901936,15.23566036,165.5384405,80.77938783,20.29261693,220.4832663
2,2,17,42,2,3,5,5,36.73414215,9.79898142,94.79804508,65.16635823,17.38339038,168.1717063
2,2,18,65,4,6,10,2,22.13251417,5.68122777,57.31778854,69.65268287,17.8792501,180.3833816
2,2,20,69,7,10,17,10,14.21702797,3.211882455,36.92633825,105.7173431,23.8834502,274.5830126
2,2,21,93,2,3,5,9,24.8703659,5.304490509,67.89218604,44.12002237,9.410164725,120.4407196
2,2,22,96,6,9,15,6,27.60348934,6.219727397,78.12006798,154.107804,34.72417993,436.1373295
2,2,24,70,4,6,10,4,39.23636533,9.772464232,112.5348431,123.4797859,30.75467825,354.1555956
2,2,25,3,1,1,2,3,60.33893367,15.10444403,167.4607435,80.3663798,20.11784783,223.0436121
2,2,26,63,5,8,13,8,19.8809994,4.813845376,50.40005459,83.33397252,20.17790204,211.2588346
2,2,27,36,3,5,8,1,40.29822098,10.25823981,109.3067498,95.21737354,24.23835663,258.2719876
2,3,16,64,4,8,12,7,23.18590915,6.804879664,55.1576728,72.96779592,21.41546693,173.5853353
2,3,17,42,3,6,9,5,24.90381934,7.756901202,58.89561014,58.84319979,18.32814802,139.1596248
2,3,18,65,1,1,2,2,45.85968524,13.3968678,119.3171018,61.08123988,17.84350005,158.9203345
2,3,20,69,6,10,16,10,11.50899346,3.217911867,26.09676996,64.25367772,17.9653132,145.6959249
2,3,21,93,2,5,7,9,22.96907416,6.007672018,57.2699398,40.74713134,10.65760853,101.5968577
2,3,22,96,5,9,14,6,32.48893573,8.65442404,87.95094164,136.1818902,36.27622137,368.6585974
2,3,24,70,1,1,2,4,81.58479796,21.66663072,239.1587025,108.6640824,28.85812803,318.5392574
2,3,25,3,1,1,2,3,51.73362721,14.73875584,137.0159548,68.90483607,19.63078195,182.4937166
2,3,26,63,3,6,9,8,30.87852149,9.100972333,74.18357848,72.96033531,21.50394387,175.282316
2,3,27,36,1,1,2,1,62.56030703,17.66172595,168.8162251,83.32506211,23.52393205,224.8489994
2,4,16,64,4,5,9,7,18.75547678,4.958441079,45.43860756,59.02489282,15.60458615,142.9987076
2,4,17,42,2,2,4,5,27.43054295,7.802488031,67.07209617,48.66177576,13.84161165,118.9858804
2,4,18,65,2,2,4,2,29.333422,8.525836846,73.43840181,52.03748268,15.12483226,130.2797049
2,4,21,93,4,5,9,9,10.53704398,2.22730608,27.41551245,33.16086809,7.009499367,86.27867491
2,4,22,96,7,9,16,6,15.36057093,3.606029147,40.84615643,114.2206902,26.81431178,303.7306491
2,4,24,70,5,7,12,4,21.89421425,5.812840565,57.59969074,91.7726424,24.36532923,241.4371103
2,4,25,3,1,1,2,3,44.66536175,13.06447537,112.6105191,59.49050155,17.40078132,149.987731
2,4,26,63,6,8,14,8,11.30147521,2.755420728,27.18281899,63.09512198,15.38326667,151.7592392
2,4,27,36,3,4,7,1,29.97531529,8.436353995,77.00678713,70.82622319,19.93357151,181.953045
2,5,16,64,1,1,2,7,39.49535878,11.6816498,99.02001094,52.60449284,15.55897407,131.8863182
2,5,17,42,1,1,2,5,32.65023409,10.47320394,78.70151726,43.48736303,13.94942593,104.8237952
2,5,18,65,2,4,6,2,26.8121405,9.057102531,62.50068353,47.56472998,16.06729744,110.8761956
2,5,21,93,1,1,2,9,11.91651568,3.568411543,26.03113025,15.87179565,4.752823756,34.67127398
2,5,22,96,5,9,14,6,25.269251,6.821370468,64.25455319,105.9195781,28.59272252,269.3318913
