Season,Week,Celebrity_Name,Predicted_Elim_Probability,Actual_Eliminated,Prediction_Type
1,2,108,0.346166667,True,rank
1,2,32,0.492583333,False,rank
1,2,55,0.012833333,False,rank
1,2,56,0.003916667,False,rank
1,2,66,0.046,False,rank
1,2,89,0.0985,False,rank
1,3,32,0.788083333,True,rank
1,3,55,0.0335,False,rank
1,3,56,0.04225,False,rank
1,3,66,0.041416667,False,rank
1,3,89,0.09475,False,rank
1,4,55,0.192083333,False,rank
1,4,56,0.217416667,False,rank
1,4,66,0.0015,False,rank
1,4,89,0.589,True,rank
2,1,100,0.000166667,False,rank
2,1,103,0.00025,False,rank
2,1,105,0.00375,False,rank
2,1,27,0.0,False,rank
2,1,34,0.022416667,False,rank
2,1,35,0.001916667,False,rank
2,1,49,0.000166667,False,rank
2,1,67,0.923083333,True,rank
2,1,73,0.010833333,False,rank
2,1,76,0.037416667,False,rank
2,2,100,0.000166667,False,rank
2,2,103,0.766916667,True,rank
2,2,105,0.02125,False,rank
2,2,27,0.00025,False,rank
2,2,34,0.016666667,False,rank
2,2,35,0.030083333,False,rank
2,2,49,0.000666667,False,rank
2,2,73,0.075833333,False,rank
2,2,76,0.088166667,False,rank
2,3,100,0.000666667,False,rank
2,3,105,0.005583333,False,rank
2,3,27,0.000666667,False,rank
2,3,34,0.042083333,False,rank
2,3,35,0.8355,True,rank
2,3,49,0.023416667,False,rank
2,3,73,0.018916667,False,rank
2,3,76,0.073166667,False,rank
2,4,100,0.010333333,False,rank
2,4,105,0.049083333,False,rank
2,4,27,0.001916667,False,rank
2,4,34,0.242083333,False,rank
2,4,49,0.01425,False,rank
2,4,73,0.015,False,rank
2,4,76,0.667333333,True,rank
2,5,100,0.001333333,False,rank
2,5,105,0.89875,True,rank
2,5,27,0.004083333,False,rank
2,5,34,0.04825,False,rank
2,5,49,0.025166667,False,rank
2,5,73,0.022416667,False,rank
2,6,100,0.023583333,False,rank
2,6,27,0.019333333,False,rank
2,6,34,0.808583333,True,rank
2,6,49,0.038083333,False,rank
2,6,73,0.110416667,False,rank
2,7,100,0.046666667,False,rank
2,7,27,0.048583333,False,rank
2,7,49,0.0855,False,rank
2,7,73,0.81925,True,rank
3,1,100,0.004062499999999969,False,pct
3,1,128,0.0044999999999999485,False,pct
3,1,133,0.0028124999999999956,False,pct
3,1,177,0.0005625000000000213,False,pct
3,1,203,0.003750000000000031,False,pct
3,1,248,0.0044999999999999485,False,pct
3,1,253,0.0034999999999999476,False,pct
3,1,276,0.7831875000000001,True,pct
3,1,284,0.002062499999999967,False,pct
3,1,290,0.18974999999999997,False,pct
3,1,86,0.0013125000000000497,False,pct
3,2,100,0.046375000000000055,False,pct
3,2,128,0.05325000000000002,False,pct
3,2,133,0.005499999999999949,False,pct
3,2,177,0.043875,False,pct
3,2,203,0.010249999999999981,False,pct
3,2,248,0.044062500000000004,False,pct
3,2,253,0.758875,True,pct
3,2,284,0.020499999999999963,False,pct
3,2,86,0.017312499999999953,False,pct
3,3,100,0.7637500000000002,True,pct
3,3,128,0.04556249999999995,False,pct
3,3,133,0.03456250000000005,False,pct
3,3,177,0.030437500000000006,False,pct
3,3,203,0.007437499999999986,False,pct
3,3,248,0.013375000000000026,False,pct
3,3,284,0.007750000000000035,False,pct
3,3,290,0.0370625,False,pct
3,3,86,0.06006250000000002,False,pct
