celebrity_name,celebrity_age_during_season,season,placement,is_from_usa,is_final_awarded,is_final_reached,season_total_weeks,weeks_participated,low_score_advanced_week,low_score_advanced_weeks,low_score_advanced_count,week1_score_sum,week2_score_sum,week3_score_sum,week4_score_sum,week5_score_sum,week6_score_sum,week7_score_sum,week8_score_sum,week9_score_sum,week10_score_sum,week11_score_sum,week1_judge_score_rank,week2_judge_score_rank,week3_judge_score_rank,week4_judge_score_rank,week5_judge_score_rank,week6_judge_score_rank,week7_judge_score_rank,week8_judge_score_rank,week9_judge_score_rank,week10_judge_score_rank,week11_judge_score_rank,advanced_rounds,celebrity_industry_Actor/Actress,celebrity_industry_Astronaut,celebrity_industry_Athlete,celebrity_industry_Beauty Pagent,celebrity_industry_Comedian,celebrity_industry_Entrepreneur,celebrity_industry_Fashion Designer,celebrity_industry_Journalist,celebrity_industry_Magician,celebrity_industry_Military,celebrity_industry_Model,celebrity_industry_Motivational Speaker,celebrity_industry_Musician,celebrity_industry_News Anchor,celebrity_industry_Politician,celebrity_industry_Racing Driver,celebrity_industry_Radio Personality,celebrity_industry_Singer/Rapper,celebrity_industry_Social Media Personality,celebrity_industry_Sports Broadcaster,celebrity_industry_TV Personality
100,1.1275985668816697,3,9,1,0,0,10,3,0,,0,-0.5711395779811925,-0.7254762501100117,-0.3872983346207417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,3,0,0,0,0,0,0,0,0,-0.7730712395105177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,0.26534493556357475,3,8,1,0,0,10,4,0,,0,0.6853674935774307,0.36273812505500586,1.5491933384829668,-0.26211121699831136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,4,0,0,0,0,0,0,0,-0.7730712395105177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,-0.9561810421370597,3,4,1,0,0,10,8,0,,0,-0.06853674935774325,1.0882143751650175,1.5491933384829668,-0.26211121699831136,0.8432740427115674,-0.18394180184549017,0.0,-1.0,0.0,0.0,0.0,5,2,1,4,1,4,3,3,0,0,0,-0.7730712395105177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,-0.5969086957545201,3,3,1,1,1,10,9,0,,0,0.434066079265706,2.176428750330035,-0.3872983346207417,0.7863336509949341,-0.6324555320336762,0.12262786789699272,0.7233642332556183,-0.3333333333333333,0.0,0.0,0.0,4,1,3,3,2,3,1,2,1,0,0,-0.7730712395105177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,-0.4531997572015043,3,2,1,1,1,10,10,0,,0,1.6905731508243291,-0.7254762501100117,-0.3872983346207417,1.4852968963237645,0.8432740427115674,1.3489065468669243,0.48224282217041214,1.6666666666666667,0.0,0.0,0.0,1,6,3,1,1,1,2,1,1,1,0,-0.7730712395105177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,-0.09392741081896476,3,1,1,1,1,10,10,3,3,1,1.18797032220088,0.36273812505500586,-1.5491933384829668,-0.26211121699831136,0.8432740427115674,0.4291975376394756,0.7233642332556183,-0.3333333333333333,0.0,0.0,0.0,2,3,5,4,1,2,1,2,1,1,0,0.20176309822389885,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,-0.5250542264780123,3,10,1,0,0,10,2,0,,0,-0.3198381636694679,-0.36273812505500586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,0,0,0,0,0,0,0,0,0,-0.7730712395105177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,-0.9561810421370597,3,7,1,0,0,10,5,0,,0,0.6853674935774307,0.0,-0.3872983346207417,1.1358152736593492,0.8432740427115674,0.0,0.0,0.0,0.0,0.0,0.0,3,4,3,2,1,0,0,0,0,0,0,-0.7730712395105177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
248,-0.23763634937198058,3,6,1,0,0,10,5,4,"1,4",2,-1.0737424066046417,-0.7254762501100117,0.7745966692414834,-1.660037707655972,-1.370320319406298,0.0,0.0,0.0,0.0,0.0,0.0,9,6,2,6,3,0,0,0,0,0,0,0.5267078774687044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
128,1.702434321093733,3,5,0,0,0,10,7,6,"1,2,3,4,5,6",6,-0.8224409922929171,-1.4509525002200234,-0.7745966692414834,-0.9610744623271417,-1.370320319406298,-1.7167901505579046,-1.9289712886816486,0.0,0.0,0.0,0.0,8,7,4,5,3,5,4,0,0,0,0,1.1765974359583153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
276,-0.09392741081896476,3,11,1,0,0,10,1,0,,0,-1.8276466495398156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0,0,-0.7730712395105177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
134,1.4868709132642093,4,6,1,0,0,10,7,6,"3,6",2,-0.5361160155839452,-0.49684140869137355,-0.7373087284671367,-1.1661462910958058,-0.7364596943186588,-1.6102183175902047,-0.851658316704544,0.0,0.0,0.0,0.0,6,5,4,6,6,6,3,0,0,0,0,1.1765974359583153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.26534493556357475,4,4,1,0,0,10,9,0,,0,0.7054158099788757,-0.10646601614815168,0.9011551125709443,0.6591261645324121,0.3682298471593294,-0.08703882797784862,0.3275608910402092,-0.45182599577992444,-1.507556722888818,0.0,0.0,3,4,1,3,4,3,2,4,3,0,0,-0.7730712395105177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.4090538741165906,4,8,1,0,0,10,5,4,"1,2,3,4",4,-0.8464989719746504,-1.6679675863210393,-2.3757725695052176,-1.394305348049333,-1.6570343122169822,0.0,0.0,0.0,0.0,0.0,0.0,7,7,5,7,8,0,0,0,0,0,0,0.5267078774687044,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,-0.6687631650310281,4,3,1,1,1,10,10,0,,0,1.3261817227602861,1.8454109465679578,-0.3276927682076165,-0.025351006328169605,1.104689541477988,1.1315047637120363,0.9826826731206276,0.39534774630743313,0.9045340337332909,-1.0690106049991683,0.0,2,1,3,5,2,1,1,3,1,3,0,-0.7730712395105177,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-1.0280355114135675,4,1,1,1,1,10,10,0,,0,0.7054158099788757,1.455035554024736,0.491539152311424,1.1154442784394667,1.4729193886373175,1.1315047637120363,0.3275608910402092,1.1013258647135644,-0.30151134457776363,1.3363233895988211,0.0,3,2,2,2,1,1,2,1,2,1,0,-0.7730712395105177,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,-0.7406176343075359,4,10,1,0,0,10,3,2,2,1,0.08464989719746525,-0.8872168012345955,-0.3276927682076165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,3,0,0,0,0,0,0,0,0,-0.12318168102090665,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,0.19349046628706687,4,11,0,0,0,10,2,0,,0,0.08464989719746525,-0.49684140869137355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,0,0,0,0,0,0,0,0,0,-0.7730712395105177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.049781527734051055,4,7,0,0,0,10,6,0,,0,-0.22573305919323994,0.6742847689382921,0.9011551125709443,0.4309671075788849,-0.1841149235796647,-0.3916747259003199,0.0,0.0,0.0,0.0,0.0,5,3,1,4,5,4,0,0,0,0,0,-0.7730712395105177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.4809083433930985,4,5,1,0,0,10,8,7,"1,5,6,7",4,-1.777647841146766,-0.49684140869137355,-0.3276927682076165,-0.025351006328169605,-0.9205746178983234,-1.0009465217452624,-1.7688288116171298,-1.7225866089109607,0.0,0.0,0.0,9,5,3,5,7,5,4,5,0,0,0,1.5015422152031208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
132,-0.5969086957545201,4,2,1,1,1,10,10,0,,0,1.6365646791509914,0.6742847689382921,0.9011551125709443,1.5717623923465212,0.552344770738994,0.8268688657895651,0.9826826731206276,0.6777389936698857,0.9045340337332909,-0.26731278459966973,0.0,1,3,1,1,3,2,1,2,1,2,0,-0.7730712395105177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
165,0.840180689775638,4,9,1,0,0,10,4,1,1,1,-1.1568819283653555,-0.49684140869137355,0.9011551125709443,-1.1661462910958058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,1,6,0,0,0,0,0,0,0,-0.4481264602657122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,-0.022072941542456852,5,5,0,0,0,10,8,7,7,1,-0.14815221273649037,-0.19720265943665397,-0.2891216547914555,0.4522670168666454,0.40129016586093885,-0.27441064997422626,-0.7745966692414834,-0.49051147158797315,0.0,0.0,0.0,4,5,4,2,3,4,4,3,0,0,0,1.5015422152031208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,1.2713075054346854,5,6,0,0,0,10,7,6,6,1,0.9185437189662372,-0.19720265943665397,0.9958634776150155,0.0,0.40129016586093885,-1.426935379865975,-1.5491933384829668,0.0,0.0,0.0,0.0,3,5,1,3,3,6,5,0,0,0,0,1.1765974359583153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,-1.0998899806900755,5,7,1,0,0,10,6,0,,0,1.629674340101389,1.3522468075656264,0.9958634776150155,1.8090680674665816,1.1146949051692745,-0.27441064997422626,0.0,0.0,0.0,0.0,0.0,1,2,1,1,2,4,0,0,0,0,0,-0.7730712395105177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
