Winner_ObsID,Loser_ObsID,Satisfaction_Rate
6,11,0.97875
7,11,0.8616666666666667
8,11,0.4241666666666667
9,11,0.771
10,11,0.9444166666666667
12,14,0.9445833333333333
13,14,0.9439166666666666
15,14,0.8900833333333333
16,14,0.9538333333333333
17,19,0.7158333333333333
18,19,0.9943333333333333
20,19,0.73975
21,23,0.783
22,23,0.9076666666666666
26,35,0.9996666666666667
27,35,0.9948333333333333
28,35,0.97325
29,35,0.9855833333333334
30,35,0.99975
31,35,0.99975
32,35,0.9975
33,35,0.9574166666666667
34,35,0.9999166666666667
37,36,0.9684166666666667
38,36,0.9758333333333333
39,36,0.9075833333333333
40,36,0.9998333333333334
41,36,0.9985
42,36,0.9589166666666666
43,36,0.8933333333333333
44,36,0.9995
45,50,0.9921666666666666
46,50,0.94775
47,50,0.975
48,50,0.999
49,50,0.9686666666666667
51,50,0.918
52,50,0.99875
53,58,0.92775
54,58,0.7328333333333333
55,58,0.9736666666666667
56,58,0.9828333333333333
57,58,0.9754166666666667
59,58,0.9968333333333333
61,60,0.9478333333333333
62,60,0.9738333333333333
63,60,0.9983333333333333
64,60,0.9711666666666666
65,60,0.9949166666666667
67,66,0.8789166666666667
68,66,0.9706666666666667
69,66,0.953
70,66,0.9739166666666667
72,71,0.9424166666666667
73,71,0.9059166666666667
74,71,0.943
90,93,0.9999166666666667
91,93,0.9988333333333334
92,93,0.9995
94,93,0.935
95,93,0.91825
96,93,0.9966666666666667
98,93,0.9994166666666666
99,93,0.99925
100,93,0.99825
101,93,1.0
90,97,0.9998333333333334
91,97,0.9995833333333334
92,97,0.9995833333333334
94,97,0.9623333333333334
95,97,0.9535
96,97,0.99825
98,97,0.9994166666666666
99,97,0.99975
100,97,0.9994166666666666
101,97,0.9999166666666667
112,115,0.9578333333333333
113,115,0.9689166666666666
114,115,0.9971666666666666
116,115,0.9354166666666667
117,115,0.981
118,115,0.9995
119,115,0.9985833333333334
120,115,0.98875
121,115,0.9996666666666667
131,134,0.9943333333333333
132,134,0.99025
133,134,0.9721666666666666
135,134,0.9495
136,134,0.9968333333333333
137,134,0.9515833333333333
138,134,0.9588333333333333
139,134,0.9195
140,146,0.78575
141,146,0.99375
142,146,0.9440833333333334
143,146,0.8961666666666667
144,146,0.9991666666666666
145,146,0.9959166666666667
147,146,0.9940833333333333
149,148,0.9968333333333333
150,148,0.9145833333333333
151,148,0.8556666666666667
152,148,0.8919166666666667
153,148,0.9796666666666667
154,148,0.9976666666666667
155,157,0.89
156,157,0.9683333333333334
158,157,0.89225
159,157,0.9926666666666667
160,157,0.9091666666666667
162,161,0.9673333333333334
163,161,0.9851666666666666
164,161,0.9935
165,161,0.9635
185,190,0.985
186,190,0.9986666666666667
187,190,0.9965
188,190,0.996
189,190,0.9999166666666667
191,190,0.99525
192,190,0.9948333333333333
193,190,0.9995
194,190,0.9960833333333333
195,190,0.9995
196,190,1.0
197,190,0.9689166666666666
198,190,0.9690833333333333
199,190,0.9833333333333333
200,211,0.867
201,211,0.9918333333333333
202,211,0.9998333333333334
203,211,0.998
204,211,0.9850833333333333
205,211,0.9999166666666667
206,211,1.0
207,211,0.9999166666666667
208,211,0.9986666666666667
209,211,0.9986666666666667
210,211,1.0
212,211,0.9990833333333333
213,211,0.9995833333333334
215,214,0.92325
216,214,0.993
217,214,1.0
218,214,0.9933333333333333
219,214,0.9865833333333334
220,214,0.9955833333333334
221,214,0.9936666666666667
222,214,0.9936666666666667
223,214,0.9975833333333334
224,214,0.9993333333333333
225,214,0.9925
226,214,0.9215833333333333
228,227,0.9594166666666667
229,227,0.9998333333333334
230,227,0.986
231,227,0.9705833333333334
232,227,0.9998333333333334
233,227,0.9955
234,227,0.9868333333333333
235,227,0.9995
236,227,0.9994166666666666
237,227,0.9954166666666666
238,227,0.9783333333333334
239,242,0.9893333333333333
240,242,0.9626666666666667
241,242,0.9989166666666667
243,242,0.94875
244,242,0.9963333333333333
245,242,0.9995
246,242,0.9995
247,242,0.9996666666666667
248,242,0.99925
249,242,0.9835833333333334
250,258,0.9971666666666666
251,258,1.0
252,258,0.9938333333333333
253,258,0.9993333333333333
254,258,0.9995
255,258,0.9928333333333333
256,258,0.9998333333333334
257,258,0.9774166666666667
250,259,0.9906666666666667
251,259,0.9999166666666667
252,259,0.9798333333333333
253,259,0.9959166666666667
254,259,0.998
255,259,0.9766666666666667
256,259,0.9995833333333334
257,259,0.9318333333333333
261,260,0.9781666666666666
262,260,0.9830833333333333
263,260,0.9961666666666666
264,260,0.9943333333333333
265,260,0.8623333333333333
266,260,0.9555
267,260,0.9771666666666666
268,272,0.9998333333333334
269,272,0.942
270,272,0.99675
271,272,0.9818333333333333
273,272,0.9828333333333333
274,272,0.9976666666666667
276,275,0.8996666666666666
278,275,0.9593333333333334
279,275,0.958
280,275,0.9815
276,277,0.9669166666666666
278,277,0.9870833333333333
279,277,0.98725
280,277,0.9944166666666666
301,300,0.9928333333333333
302,300,0.9999166666666667
303,300,0.9656666666666667
304,300,0.99975
305,300,1.0
306,300,0.9998333333333334
307,300,0.99975
308,300,1.0
309,300,0.9999166666666667
310,300,0.9999166666666667
311,300,1.0
312,300,0.9813333333333333
313,300,0.9883333333333333
314,300,1.0
315,326,0.9559166666666666
316,326,0.999
317,326,0.9808333333333333
318,326,0.9990833333333333
319,326,0.9921666666666666
320,326,0.9929166666666667
321,326,0.9799166666666667
322,326,0.9864166666666667
323,326,0.9815
324,326,0.9996666666666667
325,326,0.9994166666666666
327,326,0.97625
328,326,0.99975
330,329,1.0
332,329,0.9990833333333333
333,329,0.9998333333333334
334,329,0.9995833333333334
335,329,0.9966666666666667
336,329,0.9971666666666666
337,329,0.99875
338,329,1.0
339,329,0.9998333333333334
340,329,0.9619166666666666
341,329,0.99975
330,331,1.0
332,331,0.9989166666666667
333,331,0.9998333333333334
334,331,0.9995833333333334
335,331,0.9924166666666666
336,331,0.99375
337,331,0.9984166666666666
338,331,0.9998333333333334
339,331,0.9999166666666667
340,331,0.9271666666666667
341,331,0.9995833333333334
342,347,0.989
343,347,0.9604166666666667
344,347,0.9924166666666666
345,347,0.9821666666666666
346,347,0.9935833333333334
348,347,0.9825
349,347,0.9845833333333334
350,347,0.9989166666666667
351,347,0.9765
352,347,0.9961666666666666
353,361,0.9713333333333334
354,361,0.989
355,361,0.9944166666666666
356,361,1.0
357,361,0.9999166666666667
358,361,0.9981666666666666
359,361,0.98825
360,361,0.9995
362,361,0.9963333333333333
363,364,0.9891666666666666
365,364,0.9505833333333333
366,364,0.99725
367,364,0.99875
368,364,0.9956666666666667
369,364,0.9984166666666666
370,364,0.9971666666666666
371,364,0.9180833333333334
372,376,0.9983333333333333
373,376,0.9990833333333333
374,376,0.99425
375,376,0.99875
378,376,0.9940833333333333
379,376,0.9988333333333334
372,377,0.9936666666666667
373,377,0.99675
374,377,0.9841666666666666
375,377,0.9974166666666666
378,377,0.9880833333333333
379,377,0.9938333333333333
382,380,0.9975833333333334
383,380,0.9863333333333333
384,380,0.99625
385,380,0.9874166666666667
382,381,0.9958333333333333
383,381,0.967
384,381,0.98825
385,381,0.97025
391,390,0.9800833333333333
392,390,0.9999166666666667
393,390,0.9998333333333334
394,390,0.9971666666666666
395,390,1.0
396,390,1.0
397,390,0.8850833333333333
398,390,0.9936666666666667
399,390,0.9996666666666667
400,390,0.9969166666666667
401,390,1.0
402,390,0.9329166666666666
403,390,0.9919166666666667
404,390,1.0
405,390,1.0
406,417,0.7729166666666667
407,417,0.9989166666666667
408,417,0.9951666666666666
409,417,1.0
410,417,1.0
411,417,1.0
412,417,0.98375
413,417,0.9981666666666666
414,417,0.9993333333333333
415,417,0.99875
416,417,1.0
418,417,1.0
419,417,0.9998333333333334
420,417,1.0
422,421,0.9908333333333333
423,421,1.0
424,421,0.9985833333333334
425,421,1.0
426,421,0.9999166666666667
427,421,0.8249166666666666
428,421,0.9961666666666666
429,421,0.99975
430,421,1.0
431,421,1.0
432,421,0.9864166666666667
433,421,0.9999166666666667
434,421,1.0
435,440,0.9950833333333333
436,440,0.9924166666666666
437,440,0.987
438,440,0.9969166666666667
439,440,0.9993333333333333
441,440,0.9993333333333333
442,440,0.9998333333333334
443,440,0.9986666666666667
444,440,1.0
445,440,0.9999166666666667
446,440,0.9993333333333333
447,440,0.99975
450,448,0.9855833333333334
451,448,0.84125
452,448,0.9989166666666667
453,448,0.9883333333333333
