contestant_id,celebrity_name,vote_intensity_mean,rank
178,26,14.765242536580665,1
110,35,11.260135451377286,2
202,273,10.284230375887613,3
148,154,7.451732454431904,4
9,128,6.349056286767231,5
47,58,5.913941500224264,6
305,131,5.692201698738164,7
79,194,4.528316954945415,8
302,31,4.384690087944749,9
204,196,4.194503445909418,10
119,242,4.126831380095094,11
32,174,4.011149241229936,12
272,138,3.989323630340634,13
247,175,3.9645381131295077,14
63,277,3.894604050080524,15
224,5,3.7891209490137756,16
230,30,3.773362712185877,17
281,83,3.720731432999243,18
171,278,3.644833588396894,19
250,161,3.542749910134387,20
264,70,3.475342802643252,21
160,294,3.444877400949678,22
152,256,3.348682391602812,23
181,111,3.322806006329859,24
253,117,3.2965935098811014,25
144,144,3.291703382281483,26
268,221,3.249739846353717,27
71,190,3.2001919991516328,28
219,53,3.0581801314149883,29
243,286,3.0459079411240815,30
64,256,3.0316805164265874,31
58,36,3.0285164664680204,32
111,231,3.0124730419169654,33
191,191,2.9636531015522776,34
149,147,2.955529704051906,35
95,216,2.9157093373884333,36
176,10,2.9035795340116946,37
101,158,2.871531978369639,38
145,173,2.861076794726029,39
206,24,2.7889620676599587,40
41,155,2.784911509950896,41
207,247,2.754787299177513,42
210,238,2.741504036673146,43
263,258,2.7277242160941952,44
85,205,2.7258982275883095,45
166,13,2.719042935365984,46
228,212,2.717643759354673,47
212,209,2.641509014012626,48
163,7,2.6352155792170824,49
214,240,2.61486745582999,50
24,246,2.608456713195246,51
292,2,2.5710686798153075,52
86,78,2.569008321881992,53
15,17,2.5309584209852667,54
216,220,2.5260253058012383,55
168,146,2.511924378869028,56
102,127,2.5057126394838876,57
239,223,2.504061389367208,58
297,198,2.487529987352204,59
139,188,2.4850474323409566,60
175,62,2.474626726762647,61
158,190,2.458824190363232,62
19,29,2.458693096654209,63
138,243,2.457037699414632,64
257,268,2.4561786492737454,65
238,15,2.4355687497618326,66
36,230,2.426217973519121,67
93,89,2.4254009783527466,68
278,167,2.3737792891581733,69
249,38,2.3405835615369286,70
125,110,2.3391544042129575,71
124,237,2.3383149904831253,72
59,97,2.3235257901491893,73
203,25,2.3151242961651053,74
107,33,2.31135941806237,75
112,49,2.297801248429182,76
13,59,2.2745138134861183,77
150,17,2.264449356918813,78
211,244,2.2608242115224133,79
265,233,2.2442694334691455,80
55,160,2.2420303582871033,81
30,187,2.239127278377633,82
185,118,2.236642341184965,83
84,0,2.2037867330994496,84
69,261,2.179040331558372,85
133,239,2.1789349043867694,86
198,122,2.175977456577706,87
199,9,2.1709103013854114,88
5,86,2.155125734842236,89
282,279,2.1400566394662035,90
296,135,2.133345572538952,91
52,287,2.1299008064848053,92
