Date,Value,IsRest,StandardValue,PredictVal
2016-09-11,621.65,0,-0.8248723779187573,621.65
2016-09-12,609.67,0,-0.8257254178252389,609.67
2016-09-13,610.92,0,-0.8256364111572003,610.92
2016-09-14,608.82,0,-0.8257859423595051,608.82
2016-09-15,610.38,0,-0.8256748620377931,610.38
2016-09-16,609.11,0,-0.8257652928125201,609.11
2016-09-17,607.04,0,-0.8259126878547921,607.04
2016-09-18,611.58,0,-0.825589415636476,611.58
2016-09-19,610.19,0,-0.8256883910513348,610.19
2016-09-20,608.66,0,-0.825797335213014,608.66
2016-09-21,598.88,0,-0.8264937233837478,612.3844440349023
2016-09-22,597.42,0,-0.8265976831720168,609.3833027977703
2016-09-23,594.08,0,-0.8268355089890158,608.9432396078076
2016-09-24,603.88,0,-0.8261376967115935,607.9426275589368
2016-09-25,601.74,0,-0.8262900761272756,607.5747259904127
2016-09-26,598.98,0,-0.8264866028503046,606.6135805488763
2016-09-27,605.96,0,-0.8259895896159772,605.6848406289791
2016-09-28,605.67,0,-0.8260102391629622,605.3135724188314
2016-09-29,603.85,0,-0.8261398328716264,603.5692366797526
2016-09-30,609.39,0,-0.8257453553188796,601.7233858040722
2016-10-01,614.82,0,-0.8253587103529201,600.0111852256423
2016-10-02,612.98,0,-0.8254897281682728,600.7733381767157
2016-10-03,611.85,0,-0.8255701901961796,602.079601791845
2016-10-04,609.62,0,-0.8257289780919603,604.6138916736617
2016-10-05,607.18,0,-0.8259027191079716,604.9699811002555
2016-10-06,612.08,0,-0.8255538129692606,605.9410711147777
2016-10-07,617.21,0,-0.8251885296036302,608.0752894609175
2016-10-08,614.74,0,-0.8253644067796745,608.9424281531515
2016-10-09,615.65,0,-0.8252996099253425,610.0332933324111
2016-10-10,617.54,0,-0.8251650318432682,611.9339729018387
2016-10-11,614.77,0,-0.8253622706196415,612.815057510862
2016-10-12,635.01,0,-0.8239210746507613,612.3123182604573
2016-10-13,635.96,0,-0.8238534295830519,612.8078963752529
2016-10-14,634.02,0,-0.8239915679318478,613.7724199485401
2016-10-15,637.94,0,-0.8237124430208789,615.5442954582452
2016-10-16,641.42,0,-0.8234646484570596,618.5604013422434
2016-10-17,638.97,0,-0.8236391015264152,621.0628306586324
2016-10-18,636.29,0,-0.8238299318226898,622.6804172811236
2016-10-19,629.25,0,-0.8243312173770829,625.3135853211336
2016-10-20,627.72,0,-0.8244401615387622,628.1384685000625
2016-10-21,631.92,0,-0.8241410991341526,631.0942243103143
2016-10-22,655.48,0,-0.8224635014549619,635.69102483306
2016-10-23,653.25,0,-0.8226222893507427,636.4768663936616
2016-10-24,651.39,0,-0.8227547312727841,637.1260375959802
2016-10-25,655.31,0,-0.8224756063618152,638.4249074038703
2016-10-26,651.45,0,-0.8227504589527181,639.0684946637333
2016-10-27,682.22,0,-0.8205594708122811,638.7822461305427
2016-10-28,687.68,0,-0.8201706896862886,640.0359459869964
2016-10-29,685.91,0,-0.8202967231282312,642.5178614655031
2016-10-30,698.0,0,-0.8194358506349623,647.5387382174863
2016-10-31,702.0,0,-0.8191510292972389,654.6069224573592
2016-11-01,697.01,0,-0.8195063439160488,662.3861382447204
2016-11-02,733.33,0,-0.8169201661695206,665.3615863223896
2016-11-03,686.17,0,-0.8202782097412792,670.7976937000127
2016-11-04,683.69,0,-0.8204547989706676,676.6955408453022
2016-11-05,704.79,0,-0.8189523664141769,682.8953853775516
2016-11-06,712.0,0,-0.8184389759529305,692.3608022003776
2016-11-07,709.96,0,-0.8185842348351693,695.7915636587566
2016-11-08,708.97,0,-0.818654728116256,698.4894712637273
