Date,USD (PM),IsRest,StandardValue,PredictVal
2016-09-11,1324.6,1,-0.5576726913504817,1324.6
2016-09-12,1324.6,0,-0.5576726913504817,1324.6
2016-09-13,1323.65,0,-0.5614829037025658,1323.65
2016-09-14,1321.75,0,-0.5691033284067359,1321.75
2016-09-15,1310.8,0,-0.6130210392018197,1310.8
2016-09-16,1308.35,0,-0.6228473763203546,1308.35
2016-09-17,1308.35,1,-0.6228473763203546,1308.35
2016-09-18,1308.35,1,-0.6228473763203546,1308.35
2016-09-19,1314.85,0,-0.5967775023324055,1314.85
2016-09-20,1313.8,0,-0.6009887896689201,1313.8
2016-09-21,1326.1,0,-0.5516565665840318,1319.2679736227249
2016-09-22,1339.1,0,-0.49951681860813346,1317.9800758720066
2016-09-23,1338.65,0,-0.5013216560380677,1316.7611469948147
2016-09-24,1338.65,1,-0.5013216560380677,1315.4900221795247
2016-09-25,1338.65,1,-0.5013216560380677,1314.4332540289727
2016-09-26,1340.5,0,-0.49390176882611325,1316.1790883990673
2016-09-27,1327.0,0,-0.5480468917241615,1319.1031933800077
2016-09-28,1322.5,0,-0.566095266023511,1322.3523450137773
2016-09-29,1318.1,0,-0.5837425653384308,1326.2784580251873
2016-09-30,1322.5,0,-0.566095266023511,1329.2333083592855
2016-10-01,1322.5,1,-0.566095266023511,1333.3532667419909
2016-10-02,1322.5,1,-0.566095266023511,1335.0583222028467
2016-10-03,1313.3,0,-0.60299416459107,1333.5486982177115
2016-10-04,1283.3,0,-0.7233166599200663,1331.5110333152884
2016-10-05,1269.4,0,-0.779066082755834,1328.0617753152476
2016-10-06,1254.5,0,-0.8388262554359025,1323.3321941978302
2016-10-07,1258.75,0,-0.821780568597628,1316.4540023808518
2016-10-08,1258.75,1,-0.821780568597628,1311.7650505922365
2016-10-09,1258.75,1,-0.821780568597628,1307.1641873872686
2016-10-10,1259.5,0,-0.8187725062144031,1302.645427655621
2016-10-11,1253.45,0,-0.8430375427724172,1295.7872131382996
2016-10-12,1256.5,0,-0.8308047557473027,1287.0325059891259
2016-10-13,1261.05,0,-0.8125558439557385,1276.1808433679794
2016-10-14,1251.75,0,-0.8498558175077272,1265.3297628245523
2016-10-15,1251.75,1,-0.8498558175077272,1259.8884141869576
2016-10-16,1251.75,1,-0.8498558175077272,1256.979737007329
2016-10-17,1254.8,0,-0.8376230304826128,1257.5169717125605
2016-10-18,1258.2,0,-0.8239864810119928,1257.0899280192186
2016-10-19,1269.05,0,-0.7804698452013396,1256.658370114703
2016-10-20,1271.65,0,-0.7700418956061593,1256.445210036103
2016-10-21,1266.05,0,-0.7925020947342392,1256.0468941782938
2016-10-22,1266.05,1,-0.7925020947342392,1257.0750320091126
2016-10-23,1266.05,1,-0.7925020947342392,1257.5059829823147
2016-10-24,1265.55,0,-0.7945074696563891,1256.7703415398953
2016-10-25,1269.4,0,-0.779066082755834,1258.4404282859946
2016-10-26,1270.5,0,-0.7746542579271045,1260.6438160838604
2016-10-27,1266.25,0,-0.791699944765379,1263.4311306498337
2016-10-28,1273.0,0,-0.7646273833163548,1265.933244151777
2016-10-29,1273.0,1,-0.7646273833163548,1268.3116291132471
2016-10-30,1273.0,1,-0.7646273833163548,1268.2458230130408
2016-10-31,1272.0,0,-0.7686381331606547,1267.4353767255411
2016-11-01,1288.45,0,-0.7026612982219216,1267.9606526532089
2016-11-02,1303.75,0,-0.6412968256041337,1269.1119412142807
2016-11-03,1301.0,0,-0.6523263876759583,1271.0111621203464
2016-11-04,1302.8,0,-0.6451070379562187,1273.4425249875273
2016-11-05,1302.8,1,-0.6451070379562187,1275.457579818583
2016-11-06,1302.8,1,-0.6451070379562187,1277.6683185387628
2016-11-07,1283.05,0,-0.7243193473811412,1281.6220503291888
2016-11-08,1282.35,0,-0.7271268722721513,1284.07979216361
2016-11-09,1281.4,0,-0.7309370846242356,1287.130918662956
2016-11-10,1267.5,0,-0.7866865074600041,1290.9162578528587
2016-11-11,1236.45,0,-0.9112202901255151,1295.5099957852713
2016-11-12,1236.45,1,-0.9112202901255151,1295.7112214867675
2016-11-13,1236.45,1,-0.9112202901255151,1291.6776434089109
2016-11-14,1213.6,0,-1.0028659240677678,1287.4058703581916
2016-11-15,1226.95,0,-0.9493224136463638,1280.874865381622
2016-11-16,1229.2,0,-0.9402982264966891,1273.112577868956
2016-11-17,1226.75,0,-0.950124563615224,1263.477381743524
2016-11-18,1211.0,0,-1.013293873662947,1256.8911419162612
2016-11-19,1211.0,1,-1.013293873662947,1248.3807500680564
2016-11-20,1211.0,1,-1.013293873662947,1238.008829192081
2016-11-21,1214.25,0,-1.0002589366689725,1228.9369367144777
2016-11-22,1212.25,0,-1.0082804363575721,1226.391060007808
2016-11-23,1185.35,0,-1.1161696071692393,1223.1485689996698
2016-11-24,1186.1,0,-1.1131615447860144,1218.2865033109258
2016-11-25,1187.7,0,-1.106744345035134,1218.6311336726455
2016-11-26,1187.7,1,-1.106744345035134,1215.3710690165906
2016-11-27,1187.7,1,-1.106744345035134,1210.6658249311208
2016-11-28,1187.0,0,-1.109551869926144,1205.4704476021648
2016-11-29,1186.55,0,-1.1113567073560793,1203.366318005096
2016-11-30,1178.1,0,-1.1452475435404132,1200.7226233556794
2016-12-01,1161.85,0,-1.2104222285102864,1197.1638918916256
2016-12-02,1173.5,0,-1.1636969928241925,1191.31656259475
2016-12-03,1173.5,1,-1.1636969928241925,1184.9178914504212
2016-12-04,1173.5,1,-1.1636969928241925,1184.4535044485817
2016-12-05,1162.2,0,-1.2090184660647807,1183.6629662744817
2016-12-06,1172.5,0,-1.1677077426684923,1181.8868575018914
2016-12-07,1177.65,0,-1.1470523809703475,1179.9764689288772
2016-12-08,1171.05,0,-1.1735233299427272,1177.7433569089724
2016-12-09,1163.6,0,-1.2034034162827616,1174.949538765929
2016-12-10,1163.6,1,-1.2034034162827616,1171.3592581503215
2016-12-11,1163.6,1,-1.2034034162827616,1169.238020533096
2016-12-12,1156.1,0,-1.2334840401150107,1171.1376526505703
2016-12-13,1158.55,0,-1.2236577029964757,1170.0238032274456
2016-12-14,1162.25,0,-1.208817928572566,1168.7051692264206
2016-12-15,1126.95,0,-1.3503973980763513,1167.1681452060213
2016-12-16,1131.6,0,-1.3317474113003576,1167.3501236829115
2016-12-17,1131.6,1,-1.3317474113003576,1164.8326868014624
2016-12-18,1131.6,1,-1.3317474113003576,1160.2435170032886
2016-12-19,1136.25,0,-1.3130974245243627,1156.3555336674144
2016-12-20,1125.7,0,-1.3554108353817262,1153.7219325026165
2016-12-21,1133.65,0,-1.323525374119542,1150.112665513295
2016-12-22,1131.35,0,-1.3327500987614325,1145.840158647726
2016-12-23,1131.35,1,-1.3327500987614325,1142.5309023902469
2016-12-24,1131.35,1,-1.3327500987614325,1137.7081542905175
2016-12-25,1131.35,1,-1.3327500987614325,1130.643450684974
2016-12-26,1131.35,1,-1.3327500987614325,1131.6991326307793
2016-12-27,1131.35,1,-1.3327500987614325,1131.716397647874
2016-12-28,1134.6,0,-1.3197151617674578,1131.737978919242
